"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"188","PPP2R3C",39.5226960158634,-0.567728491215898,0.235976328120074,-2.40587051988967,0.0161339818826999,0.197094408668392
"189","GEMIN2",4.8200681975491,1.54684984731431,0.706781188894025,2.18858378182762,0.0286271056647052,NA
"190","TINF2",27.0836225867632,-0.838238922965914,0.391484905573309,-2.141178142586,0.0322596749704558,0.252017571316158
"191","MYL6",676.292400936712,-0.73366654076776,0.240050404294633,-3.0563020417465,0.00224085396096184,0.0754420833523819
"192","MFSD11",24.8717002254935,-0.663866953057328,0.324967895504103,-2.04286934876294,0.041065373277594,0.282791093252522
"193","COMT",24.2343504317148,-0.639193097179864,0.314655395527273,-2.03140675884092,0.0422137493680443,0.285168163436258
"194","CBX5",28.7577110706296,0.777997072463545,0.346738946431609,2.24375450312155,0.0248482011918191,0.230900480735371
"195","PSMD5",11.0613520460965,1.63431564097512,0.532245171590176,3.07060679591008,0.0021362427352215,0.0732773862396993
"196","BTAF1",20.0903120325242,0.84206946038621,0.349466455125863,2.40958595033945,0.0159706337677562,0.196446223730351
"197","HIVEP1",22.0618190069653,1.0802883443307,0.520803486704448,2.07427248839398,0.0380540113733973,0.274066411283449
"198","FKBP5",96.9802313504765,-1.61648079363496,0.442754565936567,-3.65096357666147,0.000261258292636197,0.02350044312426
"199","SRPK1",25.9008230150638,-0.558590752622387,0.260288616648761,-2.14604372566996,0.0318694903100168,0.251049912525704
"200","IL12RB1",25.9872633508639,-1.26846523514202,0.284685762972542,-4.45566796842021,8.36323853708638e-06,0.0033787483689829
"201","ACOT7",6.81691331541765,-1.35037641894201,0.597850089433376,-2.25872077768166,0.0239007591715726,0.226679653173577
"202","PCSK5",4.14178643199706,3.69859471458304,1.00873137583838,3.66658042286934,0.000245815633759314,NA
"203","ABLIM1",41.3569134907511,1.47933073143476,0.327491935058332,4.51715163969234,6.26770219894074e-06,0.00265875927279066
"204","OCEL1",10.9005874785937,-1.27977234781178,0.450671876770702,-2.83969871158151,0.00451561609048846,0.110087606068115
"205","PSMD8",107.785782479536,-0.518645583908418,0.215598908764081,-2.40560393780075,0.0161457583715856,0.197094408668392
"206","BCL7C",76.3900047695884,-0.546842075780141,0.201804488862986,-2.70976170481231,0.00673315634814757,0.133780090064834
